Origin.Airport,Destination.Airport,Flight.Time
Irvine,Irvine,0
Irvine,Los Angeles,30
Irvine,San Diego,45
Irvine,San Francisco,75
Irvine,Sacramento,90
Los Angeles,Irvine,30
Los Angeles,Los Angeles,0
Los Angeles,San Diego,45
Los Angeles,San Francisco,60
Los Angeles,Sacramento,75
San Diego,Irvine,45
San Diego,Los Angeles,45
San Diego,San Diego,0
San Diego,San Francisco,85
San Diego,Sacramento,100
San Francisco,Irvine,75
San Francisco,Los Angeles,60
San Francisco,San Diego,85
San Francisco,San Francisco,0
San Francisco,Sacramento,30
Sacramento,Irvine,90
Sacramento,Los Angeles,75
Sacramento,San Diego,100
Sacramento,San Francisco,30
Sacramento,Sacramento,0
